,output_dim,nodes,activation,regularizer,stacking,dropout,nlayers,closer,optimizer,epochs,batch_size,loss_func,accuracy,loss,val_accuracy,val_loss
117,3,256,relu,L1,False,True,3,False,rmsprop,16,64,sparse_categorical_crossentropy,0.7895622849464417,0.5137937068939209,0.7590067386627197,0.5987765789031982
118,3,256,relu,L1,False,True,3,True,rmsprop,16,64,categorical_crossentropy,0.788489043712616,0.5148452520370483,0.7599326372146606,0.5943478345870972
119,3,256,relu,L1,False,True,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.7879419326782227,0.5179476141929626,0.7494949698448181,0.6084263920783997
120,3,256,relu,L1,True,False,3,False,rmsprop,16,64,categorical_crossentropy,0.7876473069190979,0.5165902376174927,0.7541245818138123,0.6033722162246704
121,3,256,relu,L1,True,False,3,False,rmsprop,11,64,sparse_categorical_crossentropy,0.7809974551200867,0.5334902405738831,0.7567340135574341,0.6036931276321411
122,3,256,relu,L1,True,False,3,True,rmsprop,13,64,categorical_crossentropy,0.7836279273033142,0.5247506499290466,0.7541245818138123,0.6018812656402588
123,3,256,relu,L1,True,False,3,True,rmsprop,17,64,sparse_categorical_crossentropy,0.7897937893867493,0.5088105797767639,0.757659912109375,0.6005998253822327
124,3,256,relu,L1,True,True,3,False,rmsprop,18,64,categorical_crossentropy,0.7906144857406616,0.5106779336929321,0.7555555701255798,0.6033536195755005
125,3,256,relu,L1,True,True,3,False,rmsprop,17,64,sparse_categorical_crossentropy,0.7899410724639893,0.5113399624824524,0.7565656304359436,0.6059685349464417
126,3,256,relu,L1,True,True,3,True,rmsprop,20,64,categorical_crossentropy,0.793602705001831,0.5045635104179382,0.7548821568489075,0.6166574954986572
127,3,256,relu,L1,True,True,3,True,rmsprop,13,64,sparse_categorical_crossentropy,0.7837542295455933,0.5256898999214172,0.7545454502105713,0.5980355739593506
128,3,256,relu,L2,False,False,3,False,rmsprop,10,64,categorical_crossentropy,0.7807239294052124,0.5358209609985352,0.7493265867233276,0.6044973134994507
129,3,256,relu,L2,False,False,3,False,rmsprop,16,64,sparse_categorical_crossentropy,0.7901304960250854,0.5119706988334656,0.7569023370742798,0.6020326018333435
130,3,256,relu,L2,False,False,3,True,rmsprop,13,64,categorical_crossentropy,0.7826389074325562,0.5272475481033325,0.7531986236572266,0.5956262946128845
131,3,256,relu,L2,False,False,3,True,rmsprop,11,64,sparse_categorical_crossentropy,0.7807870507240295,0.5363037586212158,0.7472222447395325,0.6073709726333618
132,3,256,relu,L2,False,True,3,False,rmsprop,11,64,categorical_crossentropy,0.7806817889213562,0.5326387286186218,0.7547979950904846,0.5994824767112732
133,3,256,relu,L2,False,True,3,False,rmsprop,15,64,sparse_categorical_crossentropy,0.7867634892463684,0.5184245705604553,0.7547979950904846,0.6027117967605591
134,3,256,relu,L2,False,True,3,True,rmsprop,17,64,categorical_crossentropy,0.7902567386627197,0.5116264224052429,0.7420875430107117,0.6122555136680603
135,3,256,relu,L2,False,True,3,True,rmsprop,15,64,sparse_categorical_crossentropy,0.7875841856002808,0.5183607935905457,0.755892276763916,0.6000094413757324
136,3,256,relu,L2,True,False,3,False,rmsprop,15,64,categorical_crossentropy,0.7881733775138855,0.5164799690246582,0.7526094317436218,0.6025540232658386
137,3,256,relu,L2,True,False,3,False,rmsprop,15,64,sparse_categorical_crossentropy,0.790382981300354,0.5150103569030762,0.7600168585777283,0.5996994972229004
138,3,256,relu,L2,True,False,3,True,rmsprop,17,64,categorical_crossentropy,0.7913720607757568,0.5109328627586365,0.7548821568489075,0.6010642051696777
139,3,256,relu,L2,True,False,3,True,rmsprop,14,64,sparse_categorical_crossentropy,0.787289559841156,0.5185269713401794,0.755892276763916,0.6061357259750366
140,3,256,relu,L2,True,True,3,False,rmsprop,17,64,categorical_crossentropy,0.7898569107055664,0.5111525654792786,0.7598484754562378,0.5975764989852905
